date,nav,cash_weight,turnover,w_600089
2020-11-23,0.9314113015105371,0.25930851063829774,0.0,0.7406914893617023
2020-11-24,0.9611371941119372,0.25128865979381443,0.0,0.7487113402061856
2020-11-25,0.9487514055280205,0.2545691906005222,0.0,0.7454308093994778
2020-11-26,0.958660036395154,0.25193798449612403,0.0,0.748062015503876
2020-11-27,0.958660036395154,0.25193798449612403,0.0,0.748062015503876
2020-11-30,0.9462742478112373,0.2552356020942408,0.0,0.7447643979057592
2020-12-01,0.9499899843864121,0.2542372881355932,0.0,0.7457627118644068
2020-12-02,0.9487514055280205,0.2545691906005222,0.0,0.7454308093994778
2020-12-03,0.9487514055280205,0.2545691906005222,0.0,0.7454308093994778
2020-12-04,0.9388427746608871,0.25725593667546176,0.0,0.7427440633245382
2020-12-07,0.9202640917850121,0.2624495289367429,0.0,0.7375504710632571
2020-12-08,0.9252184072185787,0.26104417670682734,0.0,0.7389558232931727
2020-12-09,0.916548355209837,0.2635135135135135,0.0,0.7364864864864865
2020-12-10,0.9140711974930535,0.2642276422764228,0.0,0.7357723577235772
2020-12-11,0.9054011454843119,0.2667578659370725,0.0,0.7332421340629275
2020-12-14,0.8967310934755702,0.26933701657458564,0.0,0.7306629834254144
2020-12-15,0.9611371941119371,0.25128865979381443,0.0,0.7487113402061856
2020-12-16,0.9660915095455037,0.2499999999999999,0.0,0.7500000000000001
2020-12-17,0.9809544558462037,0.2462121212121211,0.0,0.7537878787878789
2020-12-18,1.0156346638811706,0.23780487804878037,0.0,0.7621951219512196
2020-12-21,1.032974767898654,0.23381294964028765,0.0,0.7661870503597124
2020-12-22,1.0243047158899123,0.2357920193470373,0.0,0.7642079806529627
2020-12-23,1.051553450774529,0.22968197879858643,0.0,0.7703180212014136
2020-12-24,1.0379290833322206,0.23269689737470156,0.0,0.7673031026252984
2020-12-25,1.1184367091276792,0.21594684385382035,0.0,0.7840531561461797
2020-12-28,1.1221524457028542,0.21523178807946985,0.0,0.7847682119205301
2020-12-29,1.0478377141993538,0.23049645390070883,0.0,0.7695035460992912
2020-12-30,1.055269187349704,0.2288732394366193,0.0,0.7711267605633807
2020-12-31,1.0797422670126653,0.5,0.27637614678899114,0.5
2021-01-04,1.108450333196163,0.4870503597122303,0.0,0.5129496402877697
2021-01-05,1.0972860852359139,0.4920058139534884,0.0,0.5079941860465116
2021-01-06,1.0861218372756647,0.49706314243759186,0.0,0.5029368575624081
2021-01-07,1.1004758703674136,0.4905797101449276,0.0,0.5094202898550724
2021-01-08,1.0845269447099148,0.49779411764705894,0.0,0.5022058823529411
2021-01-11,1.0606035562236669,0.5090225563909776,0.0,0.4909774436090224
2021-01-12,1.0813371595784151,0.49926253687315647,0.0,0.5007374631268435
2021-01-13,1.108450333196163,0.48705035971223043,0.0,0.5129496402877696
2021-01-14,1.1196145811564122,0.4821937321937324,0.0,0.5178062678062676
2021-01-15,1.095691192670164,0.49272197962154307,0.0,0.5072780203784569
2021-01-18,1.1395507382282855,0.47375787263820857,0.0,0.5262421273617914
2021-01-19,1.1180196885906621,0.48288159771754635,0.0,0.5171184022824536
2021-01-20,1.1243992588536615,0.4801418439716312,0.0,0.5198581560283688
2021-01-21,1.1706511432604079,0.46117166212534055,0.0,0.5388283378746594
2021-01-22,1.2288647219102782,0.4393251135626216,0.0,0.5606748864373784
2021-01-25,1.231257060758903,0.4384715025906736,0.0,0.5615284974093264
2021-01-26,1.2488008789821516,0.4323116219667944,0.0,0.5676883780332056
2021-01-27,1.292660424540273,0.41764342998149295,0.0,0.582356570018507
2021-01-28,1.2392315235876523,0.4356499356499357,0.0,0.5643500643500643
2021-01-29,1.2173270697280727,0.75,0.30664702030124424,0.25
2021-02-01,1.2205494060891176,0.748019947198592,0.0,0.251980052801408
2021-02-02,1.2169690323546234,0.7502206531332745,0.0,0.24977934686672548
2021-02-03,1.2305744525457016,0.741926098341577,0.0,0.25807390165842303
2021-02-04,1.23164856466605,0.7412790697674418,0.0,0.2587209302325581
2021-02-05,1.2090922101387358,0.7551080840983122,0.0,0.24489191590168782
2021-02-08,1.217327069728073,0.75,0.0,0.24999999999999994
2021-02-09,1.2470441717243759,0.7321274763135228,0.0,0.2678725236864771
2021-02-10,1.2456120222305782,0.7329692440356426,0.0,0.2670307559643575
2021-02-18,1.2348709010270953,0.739344737605103,0.0,0.260655262394897
2021-02-19,1.2295003404253537,0.7425742574257426,0.0,0.2574257425742574
2021-02-22,1.2441798727367805,0.7338129496402879,0.0,0.2661870503597122
2021-02-23,1.228784265678455,0.7430069930069931,0.0,0.2569930069930069
2021-02-24,1.2080180980183877,0.7557794902193243,0.0,0.24422050978067567
2021-02-25,1.2037216495369945,0.7584770969660917,0.0,0.24152290303390828
2021-02-26,1.202647537416646,0.7591545102709141,0.0,0.24084548972908595
2021-03-01,1.2101663222590842,0.7544378698224853,0.0,0.24556213017751474
2021-03-02,1.2115984717528818,0.7535460992907802,0.0,0.2464539007092198
2021-03-03,1.2126725838732302,0.7528786536758194,0.0,0.24712134632418062
2021-03-04,1.186177818237972,0.7696951403561727,0.0,0.2303048596438273
2021-03-05,1.1897581919724665,0.7673788745109841,0.0,0.23262112548901592
2021-03-08,1.1743625849141408,0.7774390243902439,0.0,0.22256097560975605
2021-03-09,1.171140248553096,0.7795781106695201,0.0,0.2204218893304799
2021-03-10,1.169708099059298,0.7805325987144169,0.0,0.21946740128558306
2021-03-11,1.176152771781388,0.7762557077625571,0.0,0.22374429223744288
2021-03-12,1.1861778182379723,0.7696951403561727,0.0,0.2303048596438273
2021-03-15,1.1808072576362307,0.7731958762886598,0.0,0.22680412371134018
2021-03-16,1.190116229345916,0.7671480144404332,0.0,0.23285198555956674
2021-03-17,1.185103706117624,0.7703927492447131,0.0,0.22960725075528693
2021-03-18,1.1872519303583204,0.7689987937273824,0.0,0.23100120627261755
2021-03-19,1.1790170707689833,0.774369875493471,0.0,0.22563012450652895
2021-03-22,1.1933385657069606,0.7650765076507651,0.0,0.23492349234923487
2021-03-23,1.1833135192503765,0.7715582450832073,0.0,0.2284417549167927
2021-03-24,1.1811652950096798,0.7729615034859049,0.0,0.22703849651409516
2021-03-25,1.1775849212751854,0.7753116448768623,0.0,0.2246883551231377
2021-03-26,1.1861778182379719,0.7696951403561727,0.0,0.23030485964382733
2021-03-29,1.1775849212751854,0.7753116448768623,0.0,0.2246883551231377
2021-03-30,1.1861778182379719,0.7696951403561727,0.0,0.23030485964382733
2021-03-31,1.1800911828893315,0.7736650485436893,0.0,0.22633495145631063
2021-04-01,1.1825974445034775,0.7720254314259765,0.0,0.22797456857402357
2021-04-02,1.1775849212751854,0.7753116448768623,0.0,0.22468835512313767
2021-04-06,1.1804492202627808,0.7734303912647862,0.0,0.22656960873521378
2021-04-07,1.1868938929848705,0.7692307692307693,0.0,0.23076923076923075
2021-04-08,1.1825974445034773,0.7720254314259765,0.0,0.2279745685740236
2021-04-09,1.1790170707689829,0.774369875493471,0.0,0.22563012450652895
2021-04-12,1.1743625849141404,0.7774390243902439,0.0,0.22256097560975605
2021-04-13,1.1693500616858483,0.7807715860379669,0.0,0.21922841396203305
2021-04-14,1.1750786596610392,0.7769652650822669,0.0,0.2230347349177331
2021-04-15,1.179733145515882,0.7738998482549317,0.0,0.2261001517450683
2021-04-16,1.1811652950096796,0.7729615034859048,0.0,0.2270384965140952
2021-04-19,1.1904742667193648,0.7669172932330827,0.0,0.2330827067669173
