,TRUE_BUYHOLD_cross_industry8
2018-01-01,1.0
2018-01-02,0.999
2018-01-03,1.0019387144608336
2018-01-04,1.0073031892396915
2018-01-05,1.0208740525642586
2018-01-08,1.0223208294382768
2018-01-09,1.024976369339047
2018-01-10,1.0171635950682716
2018-01-11,1.0234894878783136
2018-01-12,1.021890352776768
2018-01-15,1.0001892069102931
2018-01-16,1.0081528722040745
2018-01-17,1.0012187772911612
2018-01-18,0.9969165209651385
2018-01-19,1.00019975121111
2018-01-22,1.027170061530759
2018-01-23,1.0463121086364453
2018-01-24,1.0587364859277404
2018-01-25,1.0526656909875758
2018-01-26,1.0499054935530874
2018-01-29,1.0178639901453168
2018-01-30,1.0139027059969539
2018-01-31,1.0178739156532652
2018-02-01,0.9921921734051953
2018-02-02,1.0131184608977706
2018-02-05,1.0029558172704405
2018-02-06,0.9662369846350513
2018-02-07,0.9457192794143977
2018-02-08,0.9508559317505305
2018-02-09,0.9188731390405612
2018-02-12,0.9609973676160589
2018-02-13,0.9647205675538288
2018-02-14,0.972300588345563
2018-02-22,0.9987279969969989
2018-02-23,0.9856748421978647
2018-02-26,1.0108805522616449
2018-02-27,1.018704415429925
2018-02-28,1.019702425238064
2018-03-01,1.0568273845017875
2018-03-02,1.0393396398139398
2018-03-05,1.0500418791337773
2018-03-06,1.0460629909066321
2018-03-07,1.0303717707003666
2018-03-08,1.0349019636616081
2018-03-09,1.0471841755196696
2018-03-12,1.054524344517584
2018-03-13,1.0403481080442911
2018-03-14,1.0247564923706367
2018-03-15,1.0273051931128918
2018-03-16,1.0092596838768055
2018-03-19,1.0092481630477526
2018-03-20,1.0128464231138827
2018-03-21,1.0025139623707864
2018-03-22,0.9906194806770293
2018-03-23,0.9631547578418655
2018-03-26,0.9756554544049751
2018-03-27,1.0076704846666487
2018-03-28,0.9895949527160008
2018-03-29,0.9938443268078345
2018-03-30,1.0126186208637322
2018-04-02,1.013774716425985
2018-04-03,1.0077165520733167
2018-04-04,0.9987259668709504
2018-04-09,0.9944375253142349
2018-04-10,0.9935972744365847
2018-04-11,1.0169423128042456
2018-04-12,1.0104461562327434
2018-04-13,1.0110853025208149
2018-04-16,1.0191109976901818
2018-04-17,0.9958075085304341
2018-04-18,1.015935458246388
2018-04-19,1.0168996293687107
2018-04-20,0.9870315042710878
2018-04-23,0.975445432542916
2018-04-24,1.0116133605469664
2018-04-25,1.0109469052216338
2018-04-26,0.9911070332601933
2018-04-27,0.9771336359022392
2018-05-02,0.977874367260407
2018-05-03,0.9904755589652121
2018-05-04,0.9846174343221772
2018-05-07,1.0198249285417016
2018-05-08,1.023228064677471
2018-05-09,1.0223082487014137
2018-05-10,1.0147190431050148
2018-05-11,1.0061976492997307
2018-05-14,1.015270187181716
2018-05-15,1.0155230258458385
2018-05-16,1.0094127435951024
2018-05-17,0.9972221844962954
2018-05-18,1.0114766108528048
2018-05-21,1.0226513690850705
2018-05-22,1.0153016238390253
2018-05-23,1.0022714994551483
2018-05-24,0.9891481873730588
2018-05-25,0.9880790381071872
2018-05-28,0.9838651858276263
2018-05-29,0.9856733390383108
2018-05-30,0.9750197793122644
2018-05-31,1.0049506000966102
2018-06-01,0.9904396119440053
2018-06-04,0.9914177150554571
2018-06-05,1.0102362678681582
2018-06-06,1.0142076121527446
2018-06-07,1.0067132991065295
2018-06-08,0.998753561542298
2018-06-11,0.9987915212711705
2018-06-12,1.0113634818874475
2018-06-13,1.0006341868450104
2018-06-14,0.9832637623665534
2018-06-15,0.9536517155376378
2018-06-19,0.9061713483197683
2018-06-20,0.9350097020909963
2018-06-21,0.9156113188966775
2018-06-22,0.9367027373467023
2018-06-25,0.9332147944641962
2018-06-26,0.9405006506553758
2018-06-27,0.9181032355730435
2018-06-28,0.9150271240068273
2018-06-29,0.9652051225957339
2018-07-02,0.948739984788551
2018-07-03,0.9514772404050518
2018-07-04,0.9360052687684687
2018-07-05,0.926545486660064
2018-07-06,0.9343487701086269
2018-07-09,0.9559205110307049
2018-07-10,0.9560831452882345
2018-07-11,0.9340355049534629
2018-07-12,0.9640510274899949
2018-07-13,0.9636862470360387
2018-07-16,0.9722162672467384
2018-07-17,0.9829712182062746
2018-07-18,0.9886392964145873
2018-07-19,0.9940252917922682
2018-07-20,1.0020613308484712
2018-07-23,1.0083609304022991
2018-07-24,1.0294237889900184
2018-07-25,1.0297131513490831
2018-07-26,0.9924166678937748
2018-07-27,0.9857138723205642
2018-07-30,0.9610850285115854
2018-07-31,0.9558506969638727
2018-08-01,0.9460546031616824
2018-08-02,0.9231370657541328
2018-08-03,0.8967919250950507
2018-08-06,0.8862126843511887
2018-08-07,0.9273226391292484
2018-08-08,0.9152587122330946
2018-08-09,0.9480732783258863
2018-08-10,0.9537357946175723
2018-08-13,0.9577349435701153
2018-08-14,0.9389084197992956
2018-08-15,0.9130360207450651
2018-08-16,0.8968617582332701
2018-08-17,0.8672771805950541
2018-08-20,0.8742277137034316
2018-08-21,0.9025900841620219
2018-08-22,0.90000247869004
2018-08-23,0.9077392448645087
2018-08-24,0.8979108059317983
2018-08-27,0.9217257959783718
2018-08-28,0.9270967620266704
2018-08-29,0.9078199244466224
2018-08-30,0.8960693874568214
2018-08-31,0.8762058739548938
2018-09-03,0.8738150528978929
2018-09-04,0.8890978211055373
2018-09-05,0.8743573675240266
2018-09-06,0.8596919786125682
2018-09-07,0.8516674035796286
2018-09-10,0.8266712292369411
2018-09-11,0.8375733541458688
2018-09-12,0.8284917760125621
2018-09-13,0.8325543545338436
2018-09-14,0.8345776490394966
2018-09-17,0.8175179540681451
2018-09-18,0.8411846103148348
2018-09-19,0.859374494731979
2018-09-20,0.8561468797298432
2018-09-21,0.8648370033063153
2018-09-25,0.8637075138329802
2018-09-26,0.875821228681416
2018-09-27,0.8642244720586884
2018-09-28,0.8869702460705499
2018-10-08,0.8489015162886029
2018-10-09,0.8499737753694154
2018-10-10,0.8449145566987469
2018-10-11,0.799256991144338
2018-10-12,0.8069892065805547
2018-10-15,0.7961333117564371
2018-10-16,0.7753582139185453
2018-10-17,0.7922962356900793
2018-10-18,0.7681365692691982
2018-10-19,0.7955154930615178
2018-10-22,0.8357617085063614
2018-10-23,0.8190421828217942
2018-10-24,0.8023001803872895
2018-10-25,0.7979383567829866
2018-10-26,0.7860040378638954
2018-10-29,0.7633727622081029
2018-10-30,0.7580152236844379
2018-10-31,0.7748064173729113
2018-11-01,0.7849325403654094
2018-11-02,0.8178110515111905
2018-11-05,0.8102068083109176
2018-11-06,0.8009143122334074
2018-11-07,0.8037835119879025
2018-11-08,0.790123703826424
2018-11-09,0.7812879014943508
2018-11-26,0.7753788987898194
2018-11-27,0.7741385567660932
2018-11-28,0.7823518197170107
2018-11-29,0.7717868715073869
2018-11-30,0.7829583279840585
2018-12-03,0.8174666268454095
2018-12-04,0.8204901686907455
2018-12-05,0.81502250386034
2018-12-06,0.808304120779544
2018-12-07,0.8086739830069298
2018-12-10,0.7982047741982153
2018-12-11,0.8099809512445287
2018-12-12,0.8106970280899211
2018-12-13,0.822943159085829
2018-12-14,0.8115826592608033
2018-12-17,0.8079558094834699
2018-12-18,0.7995450217372266
2018-12-19,0.7846245415428472
2018-12-20,0.790380757227808
2018-12-21,0.7784327550635209
2018-12-24,0.7900329711715761
2018-12-25,0.790141328611317
2018-12-26,0.7877154621040865
2018-12-27,0.7776309681901447
2018-12-28,0.7791213554176614
2019-01-02,0.7726590250052859
