label,start,end,final_multiple,final_capital_rmb,total_return,cagr,max_drawdown,sharpe,worst_calendar_year,best_calendar_year,trades,avg_cash_weight,total_turnover,group,variant
EXPECTATION_GAP_10Y_cross_industry8,2018-01-01,2026-08-24,3.365902896707018,3365902.8967070184,2.365902896707018,0.15075578118138577,-0.26667800283577114,1.032183732203674,-0.08937013654223369,0.6644170022606428,148.0,0.5574715686989268,3.6722294204897055,cross_industry8,expectation_gap_10y
ROUND5_5Y_15X_cross_industry8,2018-01-01,2026-08-24,1.4647346378936121,1464734.637893612,0.46473463789361213,0.045147361236899775,-0.2146978177906781,0.5407618370429357,-0.018626434387188584,0.2414905265291325,53.0,0.8197003447505621,1.3021524555801607,cross_industry8,round5_5y_15x
UNIVERSAL_GEOMEAN_cross_industry8,2018-01-01,2026-08-24,2.2824842459060943,2282484.2459060946,1.2824842459060943,0.10018593763127104,-0.2579375060078667,0.754027407458187,-0.007160380871787497,0.37027908499092543,132.0,0.5021412788024628,3.0908600267166735,cross_industry8,universal_geomean
TRUE_BUYHOLD_cross_industry8,2018-01-01,2026-08-24,3.7053496574240437,3705349.657424044,2.7053496574240437,0.163619132406716,-0.46443521473631744,0.6619251523879224,-0.2092818558359889,1.3433685618568298,,,,cross_industry8,true_buyhold
EXPECTATION_GAP_10Y_single_601100,2018-01-01,2026-08-24,5.494363680132635,5494363.680132636,4.494363680132635,0.2178812696723098,-0.3839356846330757,0.8741858650035791,-0.06558722601726319,1.53484602917342,28.0,0.4481313226259503,3.7103204994962025,single_601100,expectation_gap_10y
ROUND5_5Y_15X_single_601100,2018-01-01,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_601100,round5_5y_15x
UNIVERSAL_GEOMEAN_single_601100,2018-01-01,2026-08-24,3.8541704550391493,3854170.455039149,2.8541704550391493,0.16893252219821964,-0.4092272532495357,0.7037619825777309,-0.1256613756613758,0.9050795802435361,24.0,0.41834137254130177,2.6784266335485145,single_601100,universal_geomean
TRUE_BUYHOLD_single_601100,2018-01-01,2026-08-24,8.171586770428014,8171586.770428014,7.171586770428014,0.27511555680535893,-0.6822392267418446,0.7854106005099998,-0.27053048895601295,2.386828644501279,,,,single_601100,true_buyhold
EXPECTATION_GAP_10Y_single_002747,2018-01-01,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_002747,expectation_gap_10y
ROUND5_5Y_15X_single_002747,2018-01-01,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_002747,round5_5y_15x
UNIVERSAL_GEOMEAN_single_002747,2018-01-01,2026-08-24,2.6893467510761226,2689346.7510761227,1.6893467510761226,0.1212645899646363,-0.606887146266621,0.5247013501664869,-0.14186369958275402,0.441198451702818,16.0,0.4570179741723607,3.38718112956374,single_002747,universal_geomean
TRUE_BUYHOLD_single_002747,2018-01-01,2026-08-24,2.7863511312217195,2786351.1312217196,1.7863511312217195,0.1258707770658447,-0.7223693715386468,0.49660985055616047,-0.24329140271493221,1.6487455197132617,,,,single_002747,true_buyhold
EXPECTATION_GAP_10Y_single_002050,2018-01-01,2026-08-24,4.402801700464407,4402801.700464407,3.4028017004644067,0.18707025183641135,-0.5311804008908689,0.6989532051952976,-0.22934285714285707,1.173267147068357,21.0,0.5028136441744665,3.6175443186187617,single_002050,expectation_gap_10y
ROUND5_5Y_15X_single_002050,2018-01-01,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_002050,round5_5y_15x
UNIVERSAL_GEOMEAN_single_002050,2018-01-01,2026-08-24,5.593335954473022,5593335.954473022,4.593335954473022,0.22039942677711766,-0.46263943401379426,0.7901783592351094,-0.17483154252413013,1.3242156195828487,15.0,0.46136588879501006,2.6159865044433097,single_002050,universal_geomean
TRUE_BUYHOLD_single_002050,2018-01-01,2026-08-24,3.827713519313305,3827713.519313305,2.827713519313305,0.1680013380871186,-0.5868498527968596,0.5683921950651989,-0.4211802575107295,1.4020122484689415,,,,single_002050,true_buyhold
EXPECTATION_GAP_10Y_single_600845,2018-01-01,2026-08-24,6.845938037998035,6845938.037998036,5.845938037998035,0.24926810156627188,-0.6903703703703705,0.7487424915677107,-0.06563586686537526,2.160860134806158,15.0,0.5216826698302507,3.1503417791041044,single_600845,expectation_gap_10y
ROUND5_5Y_15X_single_600845,2018-01-01,2026-08-24,4.48869746409656,4488697.464096559,3.4886974640965596,0.1897268008047155,-0.6903703703703705,0.648492999621525,-0.06563586686537426,1.9159436020847536,17.0,0.6487610230542662,2.09297671712901,single_600845,round5_5y_15x
UNIVERSAL_GEOMEAN_single_600845,2018-01-01,2026-08-24,0.7901734337204777,790173.4337204776,-0.20982656627952234,-0.026878725631361178,-0.4713967769254236,-0.08023113832772438,-0.21420873001616614,0.1960822342901487,4.0,0.6724191376231167,0.8150909567022513,single_600845,universal_geomean
TRUE_BUYHOLD_single_600845,2018-01-01,2026-08-24,6.964573170731707,6964573.170731707,5.964573170731707,0.2517537931509195,-0.6903703703703704,0.6903333823096224,-0.2796341892367218,2.2169811320754724,,,,single_600845,true_buyhold
EXPECTATION_GAP_10Y_single_002027,2018-01-01,2026-08-24,0.8864879520959796,886487.9520959796,-0.11351204790402036,-0.013843153317243617,-0.35694651135509137,-0.030059479512472457,-0.2525517790085785,0.1086976961249495,26.0,0.6949631032927774,3.2799601864226826,single_002027,expectation_gap_10y
ROUND5_5Y_15X_single_002027,2018-01-01,2026-08-24,1.1614625933201035,1161462.5933201036,0.1614625933201035,0.017468090684662485,-0.2511849017656115,0.20747481975310522,-0.07196597971867913,0.11860848110153577,9.0,0.8064557457523007,1.4609953670137603,single_002027,round5_5y_15x
UNIVERSAL_GEOMEAN_single_002027,2018-01-01,2026-08-24,1.2231601312911442,1223160.1312911443,0.2231601312911442,0.023579093465716072,-0.4151614705882354,0.22295510543520197,-0.22703818369453,0.1603778205660824,17.0,0.3586743165155175,3.0452959792011534,single_002027,universal_geomean
TRUE_BUYHOLD_single_002027,2018-01-01,2026-08-24,0.5748962264150943,574896.2264150943,-0.4251037735849057,-0.06203715566593293,-0.6830601092896176,0.026593564234850302,-0.5499787735849057,0.594420600858369,,,,single_002027,true_buyhold
EXPECTATION_GAP_10Y_single_600489,2018-01-01,2026-08-24,4.005483015403274,4005483.015403274,3.005483015403274,0.17415201287957705,-0.28268551236749195,0.8978472125300404,-0.047767128832601924,0.6839802956818068,11.0,0.559848399965971,2.886745751576288,single_600489,expectation_gap_10y
ROUND5_5Y_15X_single_600489,2018-01-01,2026-08-24,1.0,1000000.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,single_600489,round5_5y_15x
UNIVERSAL_GEOMEAN_single_600489,2018-01-01,2026-08-24,3.082841665262197,3082841.665262197,2.082841665262197,0.13911966280800225,-0.316027088036117,0.7438828136897637,-0.05725299046610188,0.42654600556244904,13.0,0.5109735273384649,2.399694902976489,single_600489,universal_geomean
TRUE_BUYHOLD_single_600489,2018-01-01,2026-08-24,3.170284051222352,3170284.051222352,2.170284051222352,0.14281174192520218,-0.5619567916563198,0.5613385409532295,-0.13823166472642612,0.9930495221546483,,,,single_600489,true_buyhold
EXPECTATION_GAP_10Y_single_600089,2018-01-01,2026-08-24,1.8350447770486076,1835044.7770486076,0.8350447770486076,0.07276025521015694,-0.4974238875878233,0.40519876530277454,-0.28713741721854347,0.5076608462403509,18.0,0.22030406324573867,3.6996212166061664,single_600089,expectation_gap_10y
ROUND5_5Y_15X_single_600089,2018-01-01,2026-08-24,1.8366161654440378,1836616.1654440379,0.8366161654440378,0.07286649588384986,-0.4974238875878225,0.4055746944247058,-0.28713741721854347,0.5076608462403509,17.0,0.22024879076630596,3.700017610517749,single_600089,round5_5y_15x
UNIVERSAL_GEOMEAN_single_600089,2018-01-01,2026-08-24,1.0596062277936682,1059606.2277936682,0.0596062277936682,0.006720935618526047,-0.35555555555555585,0.12024588746742917,-0.0871169852900896,0.27033875333206114,13.0,0.6652954602437267,1.9348353745703208,single_600089,universal_geomean
TRUE_BUYHOLD_single_600089,2018-01-01,2026-08-24,3.0663974151857833,3066397.4151857835,2.0663974151857833,0.13841501134849277,-0.4974238875878221,0.5452077500752844,-0.30441195476575134,1.1240768094534714,,,,single_600089,true_buyhold
EXPECTATION_GAP_10Y_single_600887,2018-01-01,2026-08-24,1.1674151294220196,1167415.1294220197,0.16741512942201964,0.018070027861292637,-0.2110866799816088,0.255162634924591,-0.05841417123576753,0.13932212236772457,6.0,0.7793801760249945,1.2680120454151629,single_600887,expectation_gap_10y
