population,horizon_months,sell_events_total,complete_observations,mean_forward_return,median_forward_return,positive_forward_return_fraction,mean_max_upside,median_max_upside,maximum_max_upside
all_sell_events,6,83,82,0.1459314460452865,0.025539004755618766,0.5365853658536586,0.39830531075756564,0.2599538596397275,1.2784048156508656
all_sell_events,12,83,69,0.29415039155181316,0.028517110266159662,0.5362318840579711,0.6704021255862412,0.3783783783783783,1.9253246753246755
all_sell_events,24,83,62,0.3235942637419258,0.16847189951206099,0.6129032258064516,0.9720607460074306,0.8507560242322718,2.908008658008658
sell_regime_entries,6,14,14,0.1541276057166187,0.01638763870567239,0.5,0.39249545131632146,0.25055126613383005,1.2784048156508656
sell_regime_entries,12,14,13,0.3830145431754049,0.08899676375404542,0.6153846153846154,0.717637433269717,0.37459546925566345,1.8455191382076555
sell_regime_entries,24,14,11,0.5894284168175138,0.2662192393736018,0.8181818181818182,1.253644315757384,1.1677852348993287,2.6683848797250858
code_002027,6,19,19,0.10233037276383151,-0.06093189964157708,0.47368421052631576,0.38734496336919877,0.223042836041359,1.0974930362116995
code_002027,12,19,18,0.0659897173392528,-0.12991869414101298,0.3333333333333333,0.5304028426683204,0.2939267670191156,1.6991643454038998
code_002027,24,19,18,-0.07741055356476904,-0.0579287126266369,0.5,0.5831751703285153,0.3300484400229179,1.6991643454038998
code_002050,6,11,11,0.18287682811216685,0.004115226337448652,0.5454545454545454,0.36279994364783036,0.2134082864876119,0.7956867196367763
code_002050,12,11,8,0.5584840600771993,0.3846725778147225,0.625,0.7532297449759668,0.5700664648919014,1.6810442678774118
code_002050,24,11,8,0.5649193844197018,0.4601447363793042,0.75,0.8757247556994701,0.641768668003236,1.9432463110102156
code_600089,6,15,14,0.23291612947040238,0.24710921887218706,0.7142857142857143,0.5456531771221076,0.4892856167470061,1.2784048156508656
code_600089,12,15,9,0.5126668555349956,0.5756207674943568,0.7777777777777778,0.9481790563736657,1.0768482490272375,1.893648449039882
code_600089,24,15,8,0.5582394089972322,0.6250446326390479,0.625,1.1994934949726288,1.2612190844219808,2.6683848797250858
code_600489,6,5,5,-0.1291834733602944,-0.140625,0.2,0.16459385947709554,0.22760115606936404,0.37459546925566345
code_600489,12,5,4,0.006209066338168673,0.010237459132647952,0.75,0.21948102812672265,0.24352630079228021,0.37459546925566345
code_600489,24,5,4,0.6360925718105124,0.5570262308500123,1.0,1.9436729226479181,1.9474281420191366,2.258090614886732
code_600845,6,11,11,0.08258175651658585,-0.028061224489795977,0.45454545454545453,0.34923918798831316,0.2646633920832131,0.8841145833333335
code_600845,12,11,11,0.47868634420744305,-0.0926870748299321,0.45454545454545453,0.7739509971825554,0.2646633920832131,1.9253246753246755
code_600845,24,11,11,0.7902131011843058,0.1645915578499848,0.6363636363636364,1.1833708952756739,0.32918311569996983,2.908008658008658
code_600887,6,3,3,-0.03471295702294874,-0.042019904165130906,0.3333333333333333,0.032572676981752036,0.03942520265291094,0.04091411721341687
code_600887,12,3,2,-0.038755190299181674,-0.038755190299181674,0.0,0.031137724790633148,0.031137724790633148,0.04091411721341687
code_600887,24,3,0,,,,,,
code_601100,6,19,19,0.24164670987205766,0.2160881260407328,0.631578947368421,0.4689062590561995,0.3886068809926677,1.1746365387983886
code_601100,12,19,17,0.28316542667645994,0.4310278455023737,0.6470588235294118,0.7469050293619928,0.5796227383549337,1.8455191382076555
code_601100,24,19,13,0.09494227450464235,0.023378409351363594,0.5384615384615384,0.9520842801958886,0.8964187327823692,1.8455191382076555
