strategy,date,code,name,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
EXPECTATION_GAP_10Y_single_002050,2018-04-27,002050,三花智控,BUY_FULL_MARGIN,0.5888165234969269,14.028138936972459,8.26,0.0,1.0,1.0,0.001
EXPECTATION_GAP_10Y_single_002050,2019-10-31,002050,三花智控,REDUCE_25,1.3603906101167564,7.31407577059506,9.95,1.0,0.75,-0.25,0.00025
EXPECTATION_GAP_10Y_single_002050,2019-11-29,002050,三花智控,REDUCE_50,1.435588081027733,7.31407577059506,10.5,0.7599517490952956,0.5,-0.2599517490952956,0.00025995174909529563
EXPECTATION_GAP_10Y_single_002050,2019-12-31,002050,三花智控,REDUCE_50,1.6844233484058735,7.31407577059506,12.32,0.5398773006134968,0.5,-0.03987730061349681,3.9877300613496814e-05
EXPECTATION_GAP_10Y_single_002050,2020-01-23,002050,三花智控,CORE_ONLY,2.020761127389514,7.31407577059506,14.78,0.545387453874539,0.25,-0.295387453874539,0.000295387453874539
EXPECTATION_GAP_10Y_single_002050,2020-04-30,002050,三花智控,CORE_ONLY,2.9678666765250887,5.276517346235859,15.66,0.26099999999999995,0.25,-0.010999999999999954,1.0999999999999954e-05
EXPECTATION_GAP_10Y_single_002050,2020-05-29,002050,三花智控,CORE_ONLY,3.011456033843146,5.276517346235859,15.89,0.25274375695880386,0.25,-0.0027437569588038557,2.7437569588038557e-06
EXPECTATION_GAP_10Y_single_002050,2020-06-30,002050,三花智控,CORE_ONLY,3.860500906820949,5.276517346235859,20.37,0.2993827160493827,0.25,-0.04938271604938271,4.938271604938271e-05
EXPECTATION_GAP_10Y_single_002050,2020-07-31,002050,三花智控,CORE_ONLY,4.180787923636236,5.276517346235859,22.06,0.26523987014548533,0.25,-0.015239870145485335,1.5239870145485335e-05
EXPECTATION_GAP_10Y_single_002050,2020-10-30,002050,三花智控,CORE_ONLY,4.840939556353443,4.720158087908937,22.85,0.25665506009210387,0.25,-0.0066550600921038705,6.6550600921038705e-06
EXPECTATION_GAP_10Y_single_002050,2020-12-31,002050,三花智控,CORE_ONLY,4.881192445443471,4.720158087908937,23.04,0.25155584670815584,0.25,-0.0015558467081558391,1.5558467081558393e-06
EXPECTATION_GAP_10Y_single_002050,2021-08-31,002050,三花智控,CORE_ONLY,5.136988238372951,4.650584913070918,23.89,0.25685410170949374,0.25,-0.006854101709493743,6.854101709493743e-06
EXPECTATION_GAP_10Y_single_002050,2021-12-31,002050,三花智控,CORE_ONLY,4.891335915806924,4.8943684122440025,23.94,0.25039221838719805,0.25,-0.00039221838719805113,3.9221838719805115e-07
EXPECTATION_GAP_10Y_single_002050,2022-06-30,002050,三花智控,CORE_ONLY,4.969074397829212,5.278649080291257,26.23,0.2675165731769504,0.25,-0.01751657317695038,1.751657317695038e-05
EXPECTATION_GAP_10Y_single_002050,2022-07-29,002050,三花智控,CORE_ONLY,5.876503538721393,5.278649080291257,31.02,0.28274541974295864,0.25,-0.03274541974295864,3.274541974295864e-05
EXPECTATION_GAP_10Y_single_002050,2024-01-31,002050,三花智控,BUY_STAGED,0.8190906565590217,24.807998769469286,20.32,0.179220321044276,0.5,0.320779678955724,0.00032077967895572404
EXPECTATION_GAP_10Y_single_002050,2024-04-30,002050,三花智控,BUY_A_LEVEL,0.6596082574508356,32.14028896777442,21.2,0.5105973025048165,0.75,0.2394026974951835,0.00023940269749518351
EXPECTATION_GAP_10Y_single_002050,2024-06-28,002050,三花智控,BUY_FULL_MARGIN,0.5805797209449336,32.14028896777442,18.66,0.7253174397512311,1.0,0.2746825602487689,0.0002746825602487689
EXPECTATION_GAP_10Y_single_002050,2025-09-30,002050,三花智控,CORE_ONLY,1.7200605887884701,27.90599372654015,48.0,1.0,0.25,-0.75,0.00075
EXPECTATION_GAP_10Y_single_002050,2025-10-31,002050,三花智控,CORE_ONLY,1.7487111139083094,28.300843750796293,49.49,0.2557754922735025,0.25,-0.005775492273502492,5.7754922735024915e-06
EXPECTATION_GAP_10Y_single_002050,2025-12-31,002050,三花智控,CORE_ONLY,1.9370447214478383,28.300843750796293,54.82,0.26966402675980117,0.25,-0.019664026759801168,1.966402675980117e-05
