date,nav,cash_weight,turnover,w_002027
2024-08-28,0.877529497177367,0.7985436893203881,0.0,0.20145631067961195
2024-08-29,0.877529497177367,0.7985436893203881,0.0,0.20145631067961195
2024-08-30,0.8839192750694352,0.7927710843373491,0.0,0.2072289156626509
2024-09-02,0.8785944601593784,0.7975757575757573,0.0,0.2024242424242427
2024-09-03,0.8817893491054125,0.794685990338164,0.0,0.20531400966183605
2024-09-04,0.882144336766083,0.7943661971830982,0.0,0.20563380281690177
2024-09-05,0.8846292503907761,0.7921348314606738,0.0,0.20786516853932618
2024-09-06,0.8842742627301057,0.7924528301886788,0.0,0.2075471698113211
2024-09-09,0.8764645341953556,0.7995139732685295,0.0,0.20048602673147056
2024-09-10,0.8793044354807192,0.7969317723052075,0.0,0.20306822769479246
2024-09-11,0.8803693984627305,0.7959677419354835,0.0,0.2040322580645165
2024-09-12,0.872914657588651,0.8027653517690114,0.0,0.19723464823098855
2024-09-13,0.8693647809819465,0.8060432829726416,0.0,0.19395671702735845
2024-09-18,0.8718496946066397,0.8037459283387619,0.0,0.19625407166123812
2024-09-19,0.8739796205706624,0.8017871649065796,0.0,0.19821283509342033
2024-09-20,0.8782394724987078,0.7978981406628938,0.0,0.20210185933710625
2024-09-23,0.8796594231413897,0.7966101694915251,0.0,0.20338983050847495
2024-09-24,0.888534114658151,0.7886536156612062,0.0,0.21134638433879385
2024-09-25,0.8881791269974806,0.7889688249400475,0.0,0.21103117505995245
2024-09-26,0.9045085593883215,0.7747252747252743,0.0,0.2252747252747257
2024-09-27,0.912673275583742,0.7677946324387394,0.0,0.23220536756126064
2024-09-30,0.9304226586172648,0.7531476535673403,0.0,0.24685234643265977
2024-10-08,0.9428472267407308,0.7432228915662646,0.0,0.2567771084337354
2024-10-09,0.9268727820105603,0.756032171581769,0.0,0.243967828418231
2024-10-10,0.9314876215992762,0.7522865853658531,0.0,0.2477134146341468
2024-10-11,0.9236778930645262,0.7586471944657951,0.0,0.24135280553420493
2024-10-14,0.9272277696712307,0.7557427258805508,0.0,0.2442572741194492
2024-10-15,0.9250978437072079,0.7574827321565613,0.0,0.24251726784343872
2024-10-16,0.9293576956352534,0.7540106951871652,0.0,0.2459893048128348
2024-10-17,0.9272277696712306,0.7557427258805507,0.0,0.24425727411944928
2024-10-18,0.9279377449925714,0.7551644988523329,0.0,0.24483550114766703
2024-10-21,0.9282927326532419,0.7548757170172078,0.0,0.24512428298279218
2024-10-22,0.9368124365093328,0.7480106100795749,0.0,0.251989389920425
2024-10-23,0.9392973501340259,0.7460317460317454,0.0,0.25396825396825456
2024-10-24,0.9428472267407306,0.7432228915662644,0.0,0.2567771084337356
2024-10-25,0.9414272760980488,0.7443438914027143,0.0,0.2556561085972857
2024-10-28,0.9446221650440828,0.7418263810597514,0.0,0.25817361894024865
2024-10-29,0.9392973501340259,0.7460317460317454,0.0,0.25396825396825456
2024-10-30,0.9378773994913442,0.7471612414837239,0.0,0.25283875851627613
2024-10-31,0.9346825105453102,0.7497151538169382,0.0,0.25028484618306174
2024-11-01,0.9361024611879919,0.7485779294653009,0.0,0.2514220705346991
2024-11-04,0.9368124365093329,0.748010610079575,0.0,0.25198938992042497
2024-11-05,0.9442671773834125,0.7421052631578942,0.0,0.25789473684210584
2024-11-06,0.9453321403654239,0.7412692452121662,0.0,0.2587307547878338
2024-11-07,0.9495919922934695,0.7379439252336444,0.0,0.2620560747663556
2024-11-08,0.9442671773834127,0.7421052631578942,0.0,0.2578947368421058
2024-11-11,0.9414272760980491,0.7443438914027145,0.0,0.25565610859728555
2024-11-12,0.9357474735273218,0.7488619119878599,0.0,0.2511380880121401
2024-11-13,0.9407173007767082,0.7449056603773581,0.0,0.255094339622642
2024-11-14,0.9378773994913445,0.747161241483724,0.0,0.252838758516276
2024-11-15,0.9364574488486627,0.7482941622441238,0.0,0.2517058377558762
2024-11-18,0.9332625599026285,0.7508558387219469,0.0,0.24914416127805303
2024-11-19,0.9343275228846398,0.7499999999999994,0.0,0.25000000000000056
2024-11-20,0.9343275228846398,0.7499999999999994,0.0,0.25000000000000056
2024-11-21,0.9346825105453104,0.7497151538169383,0.0,0.2502848461830617
2024-11-22,0.9282927326532422,0.7548757170172079,0.0,0.24512428298279212
2024-11-25,0.9265177943498899,0.7563218390804592,0.0,0.24367816091954078
2024-11-26,0.9240328807251966,0.7583557433730306,0.0,0.24164425662696945
2024-11-27,0.9272277696712308,0.7557427258805508,0.0,0.24425727411944922
2024-11-28,0.9226129300825149,0.7595228934205458,0.0,0.24047710657945418
2024-11-29,0.9250978437072082,0.7574827321565613,0.0,0.24251726784343877
2024-12-02,0.9275827573319012,0.7554535017221579,0.0,0.2445464982778421
2024-12-03,0.9290027079745831,0.7542988154375233,0.0,0.24570118456247667
2024-12-04,0.9282927326532422,0.7548757170172078,0.0,0.24512428298279215
2024-12-05,0.9311326339386058,0.752573389248951,0.0,0.247426610751049
