date,nav,cash_weight,turnover,w_601100,w_002747,w_002050,w_600845,w_002027,w_600489,w_600089,w_600887
2025-06-04,1.1524857177187562,0.8243720298007488,0.0,0.0,0.0,0.0,0.01988478943931708,0.03317886844508537,0.0,0.1225643123148488,0.0
2025-06-05,1.1527405328140623,0.8241898010759302,0.0,0.0,0.0,0.0,0.02023889278150498,0.03292545457379535,0.0,0.12264585156876948,0.0
2025-06-06,1.152502221660341,0.8243602247147642,0.0,0.0,0.0,0.0,0.02019418139958061,0.03288303670343241,0.0,0.12256255718222275,0.0
2025-06-09,1.1526736472903345,0.8242376258584483,0.0,0.0,0.0,0.0,0.0203296970990624,0.03277970877418,0.0,0.12265296826830928,0.0
2025-06-10,1.1510480776857224,0.8254016568468558,0.0,0.0,0.0,0.0,0.020023860767318068,0.03272742539112184,0.0,0.1218470569947043,0.0
2025-06-11,1.1519626003845238,0.8247463850953571,0.0,0.0,0.0,0.0,0.019991657769749382,0.03275069283009531,0.0,0.1225112643047981,0.0
2025-06-12,1.152110876225448,0.8246402408289305,0.0,0.0,0.0,0.0,0.01975267235334135,0.032894206310945764,0.0,0.12271288050678236,0.0
2025-06-13,1.1498945306660602,0.8262296802836907,0.0,0.0,0.0,0.0,0.01941502239025315,0.0321682039376739,0.0,0.12218709338838224,0.0
2025-06-16,1.1496617121910002,0.8263970004024467,0.0,0.0,0.0,0.0,0.019255563691706997,0.03202667515161323,0.0,0.12232076075423307,0.0
2025-06-17,1.150514009018243,0.8257848083422328,0.0,0.0,0.0,0.0,0.01933926087851591,0.03210157224239269,0.0,0.12277435853685859,0.0
2025-06-18,1.149790063442272,0.8263047495712549,0.0,0.0,0.0,0.0,0.019147222257692394,0.0320231000086715,0.0,0.12252492816238121,0.0
2025-06-19,1.1470797715601655,0.8282571221179897,0.0,0.0,0.0,0.0,0.01887313432367854,0.03180201058169319,0.0,0.12106773297663848,0.0
2025-06-20,1.1461746280953782,0.8289112035318267,0.0,0.0,0.0,0.0,0.018584846649302232,0.03177762702776738,0.0,0.12072632279110376,0.0
2025-06-23,1.146469745324474,0.8286978302801113,0.0,0.0,0.0,0.0,0.01858825491924101,0.03147253630553231,0.0,0.12124137849511527,0.0
2025-06-24,1.1494613369037459,0.8265410587809459,0.0,0.0,0.0,0.0,0.018866714920839123,0.03203225807469838,0.0,0.12255996822351668,0.0
2025-06-25,1.1517586927083225,0.8248923984225455,0.0,0.0,0.0,0.0,0.01910634045735245,0.03270723314053913,0.0,0.12329402797956296,0.0
2025-06-26,1.1505022376113043,0.8257932573905745,0.0,0.0,0.0,0.0,0.019012916600324163,0.0322005240416538,0.0,0.12299330196744748,0.0
2025-06-27,1.1525515699330136,0.8243249284606002,0.0,0.0,0.0,0.0,0.018881321598195014,0.0323893888139316,0.0,0.12440436112727318,0.0
2025-06-30,1.1540083873644855,0.8232843026400887,0.0,0.0,0.0,0.0,0.019036538382976028,0.0328892809308104,0.0,0.12478987804612483,0.0
2025-07-01,1.153052469292747,0.8239668321554671,0.0,0.0,0.0,0.0,0.018873119333205925,0.032375318487948064,0.0,0.12478473002337898,0.0
2025-07-02,1.1569485510993431,0.8211920828539971,0.0,0.0,0.0,0.0,0.018476722383792735,0.03207014531443153,0.0,0.12826104944777855,0.0
2025-07-03,1.1552560360413269,0.8223951754346832,0.0,0.0,0.0,0.0,0.018625741239969955,0.032264456164621654,0.0,0.1267146271607252,0.0
2025-07-04,1.1567281313630833,0.8213485646904923,0.0,0.0,0.0,0.0,0.018951180862553364,0.03271385785193533,0.0,0.12698639659501898,0.0
2025-07-07,1.1594209275593577,0.8194409535388895,0.0,0.0,0.0,0.0,0.018809956993266687,0.03430157872429074,0.0,0.12744751074355312,0.0
