code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,tier,research_label,quant_score,opportunity_quality_score,opportunity_quality_rank,opportunity_proximity_rank,a_condition_pass_count,a_condition_fail_count,a_condition_failed,hard_blockers,soft_blockers,opportunity_logic,top_risks,upgrade_conditions,downgrade_conditions,improvement_flags,deterioration_flags,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,industry_cycle_phase,industry_evidence_status,industry_evidence_score,industry_evidence_confidence,industry_evidence_quality,company_evidence_status,company_evidence_score,company_evidence_confidence,hard_logic_level,balanced_exit_historical_profile,next_review_trigger,evidence_items,missing_evidence,disclaimer
600309,万华化学,化工,化工,2026-07-07,2026-07-07,71.05,TIER_B,观察名单，等待证据或趋势确认,78.2223,53.8556,1,2,8,4,trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium,,company_evidence_missing;industry_evidence_stale,TIER_B：5年价格分位约 0.2618，趋势 WEAK，硬逻辑 WEAK，行业证据 STALE，公司证据 MISSING。仅作为人工复核研究对象。,industry_evidence_stale;company_evidence_missing;industry_and_company_evidence_required,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.2617671345995045,38.553,WEAK,,STALE,50.0,LOW,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,PASSED,补齐行业周期证据并检查是否过期或冲突。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""【2024年3月主要化工产品生产情况】-国家发展和改革委员会"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2024-05-07"", ""source"": ""https://www.ndrc.gov.cn/fgsj/tjsj/cyfz/zzyfz/202405/t20240510_1377050.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 791, ""weight"": 0.378, ""note"": """"}], ""company"": []}",industry:STALE;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002594,比亚迪,汽车,汽车,2026-07-07,2026-07-07,86.26,TIER_B,观察名单，等待证据或趋势确认,66.5786,51.6182,2,12,6,6,price_low_or_reasonable;trend_medium;company_evidence_medium;hard_logic_medium;financial_passed;exit_profile_passed,,balanced_exit_profile_not_available;company_evidence_missing,TIER_B：5年价格分位约 0.4525，趋势 WEAK，硬逻辑 WEAK，行业证据 PARTIALLY_VERIFIED，公司证据 MISSING。仅作为人工复核研究对象。,balanced_exit_profile_not_available;company_evidence_missing;debt_ratio_high,趋势企稳达到 MEDIUM 且不再持续创新低；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.45251857968620973,61.8113,WEAK,,PARTIALLY_VERIFIED,50.0,MEDIUM,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,NOT_AVAILABLE,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""2026年5月汽车工业经济运行情况"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-06-10"", ""source"": ""https://www.miit.gov.cn/gxsj/tjfx/zbgy/qc/art/2026/art_fef11dfd78f644a98c67eb4df5b5469f.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 27, ""weight"": 1.08, ""note"": """"}], ""company"": []}",company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
