code,stock_name,normalized_industry,previous_tier,current_tier,previous_quant_score,current_quant_score,change_type,detail
000100,TCL科技,面板,REJECTED,REJECTED,56.2322,56.2322,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000725,京东方A,面板,REJECTED,REJECTED,54.94,54.94,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
002387,维信诺,面板,REJECTED,REJECTED,45.7705,45.7705,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600111,北方稀土,稀土,REJECTED,REJECTED,42.7677,42.7677,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000831,中国稀土,稀土,REJECTED,REJECTED,38.2561,38.2561,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
000970,中科三环,稀土,REJECTED,REJECTED,55.42,55.42,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
601012,隆基绿能,光伏,REJECTED,REJECTED,67.482,67.482,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002459,晶澳科技,光伏,REJECTED,REJECTED,62.5683,62.5683,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600438,通威股份,光伏,REJECTED,REJECTED,58.8219,58.8219,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
300274,阳光电源,光伏,REJECTED,REJECTED,40.7698,40.7698,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
688599,天合光能,光伏,REJECTED,REJECTED,60.8356,60.8356,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
300750,宁德时代,锂电,REJECTED,REJECTED,48.9833,48.9833,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002466,天齐锂业,锂电,TIER_C,TIER_C,50.272,50.272,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
002594,比亚迪,汽车,TIER_B,TIER_B,66.5786,66.5786,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
300014,亿纬锂能,锂电,REJECTED,REJECTED,53.0171,53.0171,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002812,恩捷股份,锂电,TIER_C,TIER_C,62.46,62.46,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000625,长安汽车,汽车,TIER_C,TIER_C,65.4779,65.4779,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601633,长城汽车,汽车,TIER_C,TIER_C,67.8896,67.8896,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600104,上汽集团,汽车,TIER_C,TIER_C,69.0463,69.0463,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600741,华域汽车,汽车,TIER_C,TIER_C,60.8763,60.8763,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002475,立讯精密,UNRESOLVED,REJECTED,REJECTED,42.4,42.4,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
000063,中兴通讯,UNRESOLVED,REJECTED,REJECTED,47.2109,47.2109,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
