code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,quant_score,quant_screen_status,quant_reason,price_position_score,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,trend_stabilization_score,relative_strength_20d,relative_strength_60d,valuation_score,financial_safety_score,execution_risk_score,execution_risk_quality,value_trap_score,hard_reject_blockers,soft_blockers,next_evidence_needed,missing_fields,risk_flags,disclaimer
000858,五粮液,白酒,白酒,2026-07-07,2026-07-07,71.72,67.1273,SECONDARY_RESEARCH,5年价格分位 0.0008；趋势确认 NONE；估值 DEGRADED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0008257638315441783,0.0,NONE,25.0,-0.7649,2.1973,59.5,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600027,华电国际,电力,公用事业,2026-07-07,2026-07-07,4.45,66.5316,SECONDARY_RESEARCH,5年价格分位 0.265；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,75.0,0.265,111.9048,NONE,23.0,-1.4598,32.2504,87.0,70.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600048,保利发展,地产,地产,2026-07-07,2026-07-07,4.58,64.7095,SECONDARY_RESEARCH,5年价格分位 0.0008；趋势确认 NONE；估值 PASSED；财务 DEGRADED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0008257638315441783,0.0,NONE,25.0,-2.9717,14.2089,84.0,50.0,0.0,good,55.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;pe;ps;roe,below_ma250_deep_risk;debt_ratio_high;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601888,中国中免,旅游零售,UNRESOLVED,2026-07-07,2026-07-07,50.97,64.5479,SECONDARY_RESEARCH,5年价格分位 0.0008；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0008257638315441783,0.0,NONE,0.0,-1.7391,6.1862,79.5,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,accelerating_downtrend;below_ma250_deep_risk;deep_below_5y_high_risk;falling_knife_risk;industry_alias_unresolved;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000002,万科A,地产,地产,2026-07-07,2026-07-07,2.99,64.3728,SECONDARY_RESEARCH,5年价格分位 0.0033；趋势确认 NONE；估值 PASSED；财务 DEGRADED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0033030553261767133,1.3559,NONE,23.0,4.7632,9.0578,84.0,50.0,0.0,good,55.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;pe;ps;roe,below_ma250_deep_risk;debt_ratio_high;deep_below_5y_high_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300454,深信服,计算机,UNRESOLVED,2026-07-07,2026-07-07,88.8,64.2423,SECONDARY_RESEARCH,5年价格分位 0.2923；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,75.0,0.29232039636663915,105.8939,NONE,15.0,-4.862,16.6707,79.5,78.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;industry_alias_unresolved;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601390,中国中铁,建筑,UNRESOLVED,2026-07-07,2026-07-07,4.22,63.7911,SECONDARY_RESEARCH,5年价格分位 0.0149；趋势确认 NONE；估值 PASSED；财务 DEGRADED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.01486374896779521,3.0777,NONE,23.0,2.4918,12.536,79.5,50.0,0.0,good,55.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;debt_ratio_high;falling_knife_risk;industry_alias_unresolved;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600406,国电南瑞,电力设备,电力设备,2026-07-07,2026-07-07,22.79,63.0395,SECONDARY_RESEARCH,5年价格分位 0.7151；趋势确认 WEAK；估值 PASSED；财务 PASSED；待确认：price_not_low_enough,15.0,0.7151114781172585,52.5844,WEAK,72.0,11.3358,20.6528,87.0,78.0,0.0,good,33.0,,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002459,晶澳科技,光伏,光伏,2026-07-07,2026-07-07,7.86,62.5683,SECONDARY_RESEARCH,5年价格分位 0.0008；趋势确认 NONE；估值 PASSED；财务 DEGRADED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0008257638315441783,0.0,NONE,15.0,7.3014,5.4056,84.0,50.0,0.0,good,55.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:产业链库存;industry_evidence:硅料价格;industry_evidence:组件排产;net_profit;operating_cash_flow;pe;ps;roe,below_ma250_deep_risk;debt_ratio_high;deep_below_5y_high_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
001979,招商蛇口,地产,地产,2026-07-07,2026-07-07,6.45,62.5646,SECONDARY_RESEARCH,5年价格分位 0.0017；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0016652789342214821,0.311,NONE,0.0,-12.1831,13.1883,75.46,70.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,accelerating_downtrend;below_ma250_deep_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
