code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,tier,research_label,quant_score,opportunity_quality_score,opportunity_quality_rank,opportunity_proximity_rank,a_condition_pass_count,a_condition_fail_count,a_condition_failed,hard_blockers,soft_blockers,opportunity_logic,top_risks,upgrade_conditions,downgrade_conditions,improvement_flags,deterioration_flags,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,industry_cycle_phase,industry_evidence_status,industry_evidence_score,industry_evidence_confidence,industry_evidence_quality,company_evidence_status,company_evidence_score,company_evidence_confidence,hard_logic_level,balanced_exit_historical_profile,next_review_trigger,evidence_items,missing_evidence,disclaimer
002812,恩捷股份,锂电,锂电,2026-07-07,2026-07-07,67.72,TIER_C,证据不完整研究对象,62.46,37.6863,15,28,5,7,price_low_or_reasonable;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;valuation_not_failed;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;industry_evidence_missing;price_not_low_enough;valuation_failed,TIER_C：5年价格分位约 0.5237，趋势 WEAK，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,price_not_low_enough;valuation_failed;balanced_exit_profile_degraded,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.5237302248126561,176.747,WEAK,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000625,长安汽车,汽车,汽车,2026-07-07,2026-07-07,7.07,TIER_C,证据不完整研究对象,65.4779,52.6795,4,1,9,3,trend_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;trend_not_stabilized,TIER_C：5年价格分位约 0.014，趋势 NONE，硬逻辑 NONE，行业证据 PARTIALLY_VERIFIED，公司证据 PARTIALLY_VERIFIED。仅作为人工复核研究对象。,trend_not_stabilized;balanced_exit_profile_degraded;below_ma250_deep_risk,趋势企稳达到 MEDIUM 且不再持续创新低；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.014037985136251032,20.6897,NONE,,PARTIALLY_VERIFIED,50.0,MEDIUM,OFFICIAL_REPORT,PARTIALLY_VERIFIED,50.0,MEDIUM,NONE,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""2026年5月汽车工业经济运行情况"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-06-10"", ""source"": ""https://www.miit.gov.cn/gxsj/tjfx/zbgy/qc/art/2026/art_fef11dfd78f644a98c67eb4df5b5469f.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 27, ""weight"": 1.08, ""note"": """"}], ""company"": [{""evidence_name"": ""定期报告原文数值"", ""evidence_value"": ""营业收入（元）  163,999,803,875.87  159,733,034,213.25 2.67% 151,297,706,646.97"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-04-10"", ""source"": ""http://static.cninfo.com.cn/finalpage/2026-04-11/1225093372.PDF"", ""source_type"": ""EXCHANGE_DISCLOSURE"", ""freshness_days"": 88, ""weight"": 1.08, ""note"": """"}]}",,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601633,长城汽车,汽车,汽车,2026-07-07,2026-07-07,15.51,TIER_C,证据不完整研究对象,67.8896,49.0059,8,8,7,5,no_falling_knife;trend_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;falling_knife_not_cleared;trend_not_stabilized,TIER_C：5年价格分位约 0.0058，趋势 NONE，硬逻辑 WEAK，行业证据 PARTIALLY_VERIFIED，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;trend_not_stabilized;balanced_exit_profile_degraded,趋势企稳达到 MEDIUM 且不再持续创新低；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.005780346820809248,3.4,NONE,,PARTIALLY_VERIFIED,50.0,MEDIUM,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""2026年5月汽车工业经济运行情况"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-06-10"", ""source"": ""https://www.miit.gov.cn/gxsj/tjfx/zbgy/qc/art/2026/art_fef11dfd78f644a98c67eb4df5b5469f.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 27, ""weight"": 1.08, ""note"": """"}], ""company"": []}",company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600104,上汽集团,汽车,汽车,2026-07-07,2026-07-07,10.13,TIER_C,证据不完整研究对象,69.0463,49.6421,6,5,8,4,trend_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.0074，趋势 NONE，硬逻辑 WEAK，行业证据 PARTIALLY_VERIFIED，公司证据 MISSING。仅作为人工复核研究对象。,trend_not_stabilized;balanced_exit_profile_degraded;company_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.007431874483897605,4.111,NONE,,PARTIALLY_VERIFIED,50.0,MEDIUM,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""2026年5月汽车工业经济运行情况"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-06-10"", ""source"": ""https://www.miit.gov.cn/gxsj/tjfx/zbgy/qc/art/2026/art_fef11dfd78f644a98c67eb4df5b5469f.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 27, ""weight"": 1.08, ""note"": """"}], ""company"": []}",company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600741,华域汽车,汽车零部件,汽车,2026-07-07,2026-07-07,16.01,TIER_C,证据不完整研究对象,60.8763,45.1486,10,11,7,5,price_low_or_reasonable;trend_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.3658，趋势 NONE，硬逻辑 WEAK，行业证据 PARTIALLY_VERIFIED，公司证据 MISSING。仅作为人工复核研究对象。,trend_not_stabilized;balanced_exit_profile_degraded;company_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.365813377374071,28.08,NONE,,PARTIALLY_VERIFIED,50.0,MEDIUM,OFFICIAL_REPORT,MISSING,50.0,LOW,WEAK,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [{""evidence_name"": ""政府或行业具体文章数据"", ""evidence_value"": ""2026年5月汽车工业经济运行情况"", ""evidence_direction"": ""NEUTRAL"", ""evidence_date"": ""2026-06-10"", ""source"": ""https://www.miit.gov.cn/gxsj/tjfx/zbgy/qc/art/2026/art_fef11dfd78f644a98c67eb4df5b5469f.html"", ""source_type"": ""OFFICIAL_REPORT"", ""freshness_days"": 27, ""weight"": 1.08, ""note"": """"}], ""company"": []}",company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600703,三安光电,电子,UNRESOLVED,2026-07-07,2026-07-07,17.78,TIER_C,证据不完整研究对象,52.86,29.073,31,32,4,8,price_low_or_reasonable;no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;valuation_not_failed;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;falling_knife_not_cleared;industry_evidence_missing;price_not_low_enough;trend_not_stabilized;valuation_failed,TIER_C：5年价格分位约 0.635，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.6350123864574732,86.7451,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002230,科大讯飞,计算机,UNRESOLVED,2026-07-07,2026-07-07,39.95,TIER_C,证据不完整研究对象,66.0234,36.3129,16,6,8,4,trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium,,company_evidence_missing;industry_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.1792，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,trend_not_stabilized;industry_evidence_missing;company_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.1791907514450867,29.6994,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,PASSED,补齐行业周期证据并检查是否过期或冲突。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300454,深信服,计算机,UNRESOLVED,2026-07-07,2026-07-07,88.8,TIER_C,证据不完整研究对象,64.2423,35.3333,20,17,6,6,no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;falling_knife_not_cleared;industry_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.2923，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;trend_not_stabilized;balanced_exit_profile_degraded,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.29232039636663915,105.8939,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600690,海尔智家,家电,家电,2026-07-07,2026-07-07,20.32,TIER_C,证据不完整研究对象,84.6452,53.2215,3,3,8,4,industry_evidence_medium;company_evidence_medium;hard_logic_medium;exit_profile_passed,,balanced_exit_profile_degraded;company_evidence_missing;industry_evidence_missing,TIER_C：5年价格分位约 0.128，趋势 MEDIUM，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,balanced_exit_profile_degraded;industry_evidence_missing;company_evidence_missing,补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；历史退出画像达到 PASSED；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.12799339388934763,14.4918,MEDIUM,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,DEGRADED,补充历史退出画像验证，未通过前不得进入 A 类。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002241,歌尔股份,电子,UNRESOLVED,2026-07-07,2026-07-07,21.08,TIER_C,证据不完整研究对象,58.2685,32.0477,27,22,6,6,price_low_or_reasonable;no_falling_knife;trend_medium;industry_evidence_medium;company_evidence_medium;hard_logic_medium,,company_evidence_missing;falling_knife_not_cleared;industry_evidence_missing;trend_not_stabilized,TIER_C：5年价格分位约 0.3815，趋势 NONE，硬逻辑 NONE，行业证据 MISSING，公司证据 MISSING。仅作为人工复核研究对象。,falling_knife_not_cleared;trend_not_stabilized;industry_evidence_missing,趋势企稳达到 MEDIUM 且不再持续创新低；补齐非过期且无冲突的行业证据；补齐公司公告/财报/经营层面的可核验证据；hard_logic_level 升至 MEDIUM 及以上,行业或公司证据出现冲突/过期；趋势重新转弱或跌破关键平台；财务、估值陷阱或执行风险恶化,,,0.3815028901734104,54.0823,NONE,,MISSING,50.0,LOW,MISSING,MISSING,50.0,LOW,NONE,PASSED,补齐行业周期证据并检查是否过期或冲突。,"{""industry"": [], ""company"": []}",industry:MISSING;company:MISSING,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
