code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,quant_score,quant_screen_status,quant_reason,price_position_score,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,trend_stabilization_score,relative_strength_20d,relative_strength_60d,valuation_score,financial_safety_score,execution_risk_score,execution_risk_quality,value_trap_score,hard_reject_blockers,soft_blockers,next_evidence_needed,missing_fields,risk_flags,disclaimer
000001,平安银行,银行,银行,2026-07-07,2026-07-07,10.47,55.3974,HARD_REJECT,量化层硬拒绝：financial_safety_failed;value_trap_high,55.0,0.42609413707679605,47.3195,NONE,33.0,7.6658,29.7704,87.0,35.0,0.0,good,68.0,financial_safety_failed;value_trap_high,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601318,中国平安,保险,保险,2026-07-07,2026-07-07,49.29,42.2518,HARD_REJECT,量化层硬拒绝：financial_safety_failed;value_trap_high,15.0,0.7423616845582164,82.2788,NONE,23.0,5.008,18.7862,87.0,35.0,0.0,good,68.0,financial_safety_failed;value_trap_high,price_not_low_enough;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601628,中国人寿,保险,保险,2026-07-07,2026-07-07,37.57,60.24,HARD_REJECT,量化层硬拒绝：financial_safety_failed;value_trap_high,15.0,0.7233691164327003,73.4374,MEDIUM,100.0,23.3887,33.0167,87.0,35.0,0.0,good,68.0,financial_safety_failed;value_trap_high,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;financial_safety_review,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601336,新华保险,保险,保险,2026-07-07,2026-07-07,63.31,56.39,HARD_REJECT,量化层硬拒绝：financial_safety_failed;price_position_overheated;value_trap_high,15.0,0.8769611890999174,247.0943,MEDIUM,100.0,23.7564,33.7421,59.5,35.0,0.0,good,68.0,financial_safety_failed;price_position_overheated;value_trap_high,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;financial_safety_review,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_extreme;extended_from_5y_low_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;value_trap_risk,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600030,中信证券,证券,证券,2026-07-07,2026-07-07,28.45,59.83,HARD_REJECT,量化层硬拒绝：price_position_overheated,15.0,0.9136929460580913,89.3511,STRONG,100.0,23.2493,50.4879,59.5,50.0,0.0,good,55.0,price_position_overheated,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;financial_safety_review,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601688,华泰证券,证券,证券,2026-07-07,2026-07-07,20.64,55.1,HARD_REJECT,量化层硬拒绝：price_position_overheated,15.0,0.9000825763831544,99.5746,MEDIUM,96.0,19.679,46.0868,32.0,50.0,0.0,good,55.0,price_position_overheated,price_not_low_enough;valuation_failed,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;valuation_review,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300059,东方财富,证券,证券,2026-07-07,2026-07-07,20.29,67.83,SECONDARY_RESEARCH,5年价格分位 0.5747；趋势确认 MEDIUM；估值 PASSED；财务 DEGRADED；待确认：price_not_low_enough,35.0,0.5747316267547481,107.0408,MEDIUM,100.0,24.0436,38.0031,79.5,50.0,0.0,good,55.0,,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;financial_safety_review,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
000776,广发证券,证券,证券,2026-07-07,2026-07-07,22.79,58.43,HARD_REJECT,量化层硬拒绝：price_position_overheated,15.0,0.9628406275805119,113.9906,STRONG,100.0,31.7386,55.8226,49.5,50.0,0.0,good,55.0,price_position_overheated,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence;financial_safety_review,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600276,恒瑞医药,医药,医药,2026-07-07,2026-07-07,55.36,69.92,HARD_REJECT,量化层硬拒绝：price_position_overheated,15.0,0.8323699421965318,106.4054,STRONG,100.0,30.0452,30.0602,87.0,78.0,0.0,good,33.0,price_position_overheated,price_not_low_enough,industry_cycle_evidence;company_cycle_evidence,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300760,迈瑞医疗,医药,医药,2026-07-07,2026-07-07,138.17,73.6931,PRIORITY_RESEARCH,5年价格分位 0.005；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：trend_not_stabilized,90.0,0.00495458298926507,3.1273,NONE,33.0,6.3386,18.99,87.0,78.0,0.0,good,33.0,,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
