group,sell_events,sell_median_12m_return,sell_share_12m_return_gt20,sell_median_12m_max_gain,sell_median_24m_max_gain,buy_events,buy_median_12m_return,buy_median_12m_max_drawdown,buy_share_12m_drawdown_le_minus30
strategic_resources,34,0.1598513011152416,0.17647058823529413,0.4518589132507149,1.0065444237895829,22,0.25373134328358216,-0.12367021276595747,0.045454545454545456
grid_equipment,4,-0.2768421052631579,0.0,0.06953223767383077,0.22503160556257895,12,0.11948118479880776,-0.022585449130071544,0.08333333333333333
semiconductor,30,0.15489535552585487,0.4,0.4770996659054,0.8492615034381542,28,-0.13316064076328354,-0.26644837107956393,0.35714285714285715
combined,80,0.10341935788685619,0.25,0.4316392218276919,0.6696130781549456,85,0.1480532786885247,-0.1539568345323742,0.2235294117647059
