group,observations,median_divergence_factor,p90_divergence_factor,share_over_2x,share_over_3x
strategic_resources,368,1.3092579529434927,2.107215528730758,0.14402173913043478,0.002717391304347826
grid_equipment,276,1.1425110110855363,2.86109200066608,0.16666666666666666,0.09420289855072464
semiconductor,250,1.8395977675034638,8.090172670950128,0.436,0.256
combined,894,1.3431978875646862,3.018363222773063,0.232662192393736,0.1017897091722595
